ID,Type,Rooms,Location,Area,Price
apimo-85245589,Appartement,3,75016 Paris 16e (Muette-Nord - Trocadéro),64,860 000 €
apimo-84592489,Appartement,8,75016 Paris 16e (Muette-Nord - Trocadéro),227,3 150 000 €
ag750365-447964955,Appartement,2,75015 Paris 15e (Dupleix - Motte Picquet),33,318 000 €
ag750365-447964907,,,75006 Paris 6e (Saint-Placide),,330 000 €
ag750365-447964973,Appartement,2,75011 Paris 11e (Belleville - Saint-Maur),45,475 000 €
ag750365-447964850,Appartement,2,75116 Paris 16e (Muette-Nord - Trocadéro),40,540 000 €
ag750365-447964961,Appartement,3,75002 Paris 2e (Montorgueil - Etienne Marcel),50,600 000 €
ag750365-447964976,Appartement,3,75011 Paris 11e (Belleville - Saint-Maur),60,625 000 €
ag750365-447964919,Appartement,3,75007 Paris 7e (Invalides),50,750 000 €
ag750365-447964892,Appartement,3,75006 Paris 6e (Saint-Placide),66,895 000 €
ag750365-447964901,Appartement,2,75007 Paris 7e (Invalides),100,1 700 000 €
ag750365-447964964,Appartement,2,75007 Paris 7e (Invalides),90,1 890 000 €
ag750365-447964874,Appartement,4,75016 Paris 16e (Muette-Nord - Trocadéro),150,1 995 000 €
ag750365-447964883,Appartement,5,75008 Paris 8e (Saint-Philippe du Roule),163,2 100 000 €
ag750365-447964931,Appartement,5,75016 Paris 16e (Muette-Nord - Trocadéro),147,2 100 000 €
ag750365-447964943,Appartement,5,75116 Paris 16e (Muette-Nord - Trocadéro),180,2 995 000 €
ag750365-447964910,Appartement,6,75016 Paris 16e (Muette-Nord - Trocadéro),215,3 150 000 €
ag750365-447964967,Appartement,5,75008 Paris 8e (Elysée - Madeleine),170,3 390 000 €
ag750365-447964853,Appartement,7,75016 Paris 16e (Porte de Saint-Cloud - Auteuil-Sud),250,3 990 000 €
ag750365-447964865,Appartement,5,75007 Paris 7e (Saint-Thomas d'Aquin - Bac - Musée d'Orsay),220,4 700 000 €
ag756575-447941381,Appartement,2,75014 Paris 14e (Pernety),36,355 000 €
hektor-totemimmo-prata-5758,,,75016 Paris 16e (Porte de Saint-Cloud - Auteuil-Sud),,260 000 €
hektor-totemimmo-prata-5762,Appartement,4,75011 Paris 11e (République - Saint-Ambroise),83,990 000 €
hektor-vks-immobilier-5107,,,75011 Paris 11e (République - Saint-Ambroise),,320 000 €
ag942352-447936962,,,75015 Paris 15e (Cambronne - Garibaldi),,109 000 €
ag942352-447936458,,,75018 Paris 18e (Barbès - Château Rouge),,124 000 €
gedeon-29972370,Appartement,2,75015 Paris 15e (Georges Brassens),46,365 000 €
hektor-ktsimmo-713,Appartement,3,75006 Paris 6e (Notre Dame des Champs),60,1 090 000 €
ag942352-447936962,,,75015 Paris 15e (Cambronne - Garibaldi),,109 000 €
ag942352-447936458,,,75018 Paris 18e (Barbès - Château Rouge),,124 000 €
ag942352-447937784,,,75015 Paris 15e (Saint-Lambert - Convention),,133 000 €
ag942352-447938510,,,75011 Paris 11e (Bastille - Popincourt),,199 000 €
ag942352-447938087,Appartement,2,75017 Paris 17e (La Fourche - Guy Moquet),42,399 000 €
ag942352-447938264,Appartement,3,75005 Paris 5e (Monge - Jussieu),46,635 000 €
ag942352-447936518,Appartement,3,75016 Paris 16e (Porte de Saint-Cloud - Auteuil-Sud),65,649 000 €
ag942352-447937997,Appartement,3,75015 Paris 15e (Georges Brassens),71,740 000 €
laforet-immo-facile-22417624,Appartement,2,75012 Paris 12e (Vallée de Fecamp),33,345 000 €
hektor-BOSSEMONAIMMOBILIER-1332,Appartement,2,75018 Paris 18e (Simplon - Poissonniers),38,240 000 €
hektor-BOSSEMONAIMMOBILIER-1333,Appartement,2,75018 Paris 18e (Simplon - Poissonniers),44,279 000 €
hektor-BOSSEMONAIMMOBILIER-1322,Appartement,2,75015 Paris 15e (Alleray - Procession),38,350 000 €
hektor-BOSSEMONAIMMOBILIER-1323,Appartement,2,75016 Paris 16e (Passy - Maison de la Radio - Muette-Sud),48,525 000 €
hektor-BOSSEMONAIMMOBILIER-1326,Appartement,2,75020 Paris 20e (Gambetta),49,599 000 €
nestenn-1-99939080435,,,75017 Paris 17e (Legendre - Lévis),,222 000 €
iad-france-1704588,Appartement,2,75017 Paris 17e (Epinettes - Bessières),37,397 000 €
ag750949-447933830,Appartement,3,75016 Paris 16e (Porte de Saint-Cloud - Auteuil-Sud),96,872 000 €
ag750969-447929423,Appartement,2,75018 Paris 18e (Jules Joffrin),54,540 800 €
hektor-EUGENE2020-300,Maison,7,75018 Paris 18e (Grandes Carrières - Clichy),234,1 030 000 €
ag753010-447937043,Appartement,3,75015 Paris 15e (Georges Brassens),75,680 000 €
ag753010-447937076,Appartement,3,75016 Paris 16e (Dauphine),90,900 000 €
ag753737-447929426,Appartement,5,75012 Paris 12e (Vallée de Fecamp),95,795 000 €
hektor-1164_EXPERTIMO22-185133,Appartement,2,75006 Paris 6e (Saint-Michel - Monnaie),48,749 000 €
ag756465-447935711,,,75011 Paris 11e,,238 000 €
