id,Type,Nb_chambre,loc,surface,prix
apimo-85473173,Appartement,1,Châtelet,29,364000
hektor-Les-4-Quartiers-383,Appartement,1,Châtelet,23,301000
hektor-PARISLUXURYHOMES-4007,Appartement,5,Palais Royal,106,2490000
ag754594-448898324,Studio,1,Saint-Germain,27,365000
keller-williams-1-34_1_53-180645,Appartement,2,Vendôme,67,1190000
apimo-83606543,Maison,7,Saint-Germain,341,15000000
netty-company37189tlh-appt-2621,Duplex,5,Châtelet,128,2800000
apimo-85464915,Appartement,1,Châtelet,57,499000
apimo-85461895,Appartement,3,Châtelet,85,990000
ag753659-447890708,Appartement,3,Châtelet,71,950000
immo-facile-56980381,Appartement,5,Châtelet,150,1998000
hektor-br-immobilier-4309,Appartement,2,Saint-Germain,53,669000
ag752647-447405281,Appartement,4,Vendôme,86,1150000
hektor-PARISLUXURYHOMES-3982,Appartement,1,Gaillon,33,550000
hektor-PARISLUXURYHOMES-3974,Appartement,2,Châtelet,46,700000
hektor-PARISLUXURYHOMES-3991,Appartement,2,Palais Royal,45,950000
hektor-PARISLUXURYHOMES-3989,Appartement,3,Palais Royal,70,1480000
hektor-PARISLUXURYHOMES-3973,Appartement,4,Châtelet,118,1750000
hektor-PARISLUXURYHOMES-3990,Appartement,5,Palais Royal,133,1790000
hektor-PARISLUXURYHOMES-3984,Appartement,5,Palais Royal,106,2490000
hektor-PARISLUXURYHOMES-3980,Appartement,5,Palais Royal,200,4000000
hektor-PARISLUXURYHOMES-3994,Appartement,6,Palais Royal,176,4500000
hektor-PARISLUXURYHOMES-3995,Appartement,6,Vendôme,191,6600000
ag753296-447383534,Appartement,3,Châtelet,54,695000
keller-williams-1-34_1_32-158298,Appartement,5,Palais Royal,154,1995000
gedeon-29430199,Appartement,1,Palais Royal,15,199000
apimo-85440989,Appartement,3,Châtelet,97,1490000
immo-facile-57253813,Appartement,2,Vendôme,54,735000
ladresse-1-adresse-13790681,Appartement,5,Gaillon,115,1199000
ag942352-447016352,Appartement,2,Vendôme,42,573000
apimo-85429346,Appartement,3,Châtelet,85,990000
immo-facile-57255590,Appartement,5,Châtelet,126,1750000
apimo-85424088,Appartement,5,Châtelet,126,1750000
apimo-85440979,Appartement,2,Châtelet,49,499000
guy-hoquet-immo-facile-7161896,Appartement,2,Châtelet,40,445000
hektor-PARISLUXURYHOMES-3967,Appartement,7,Palais Royal,172,2500000
ag752451-446458028,Appartement,4,Saint-Thomas d'Aquin,90,510000
keller-williams-1-34_1_32-179612,Appartement,5,Palais Royal,105,1880000
immo-facile-57202979,Appartement,3,Châtelet,70,1150000
immo-facile-57203372,Appartement,4,Palais Royal,103,1580000
apimo-85425231,Appartement,3,Châtelet,83,820000
apimo-85347993,Appartement,3,Châtelet,82,1320000
immo-facile-56464881,Appartement,2,Palais Royal,77,850000
immo-facile-56977338,Appartement,1,Châtelet,14,189000
hektor-br-immobilier-4263,Appartement,3,Châtelet,78,1150000
keller-williams-1-34_1_32-178105,Appartement,4,Palais Royal,80,1260000
ag752451-444966428,Appartement,5,Saint-Germain,111,906063
ag752647-444623297,Studio,1,Palais Royal,24,325000
gedeon-30085762,Appartement,1,Palais Royal,23,320000
apimo-85285947,Appartement,3,Châtelet,71,1260000
apimo-85365594,Appartement,3,Saint-Germain,86,1850000
apimo-85365567,Appartement,3,Saint-Germain,69,2000000
iad-france-1687476,Studio,1,Châtelet,57,499000
ag753637-443011796,Studio,1,Saint-Germain,34,522500
century-21-202_2383_16311,Appartement,2,Palais Royal,35,386000
ag922730-442762598,Appartement,4,Châtelet,89,1250000
iad-france-1676229,Appartement,1,Châtelet,44,467000
ag753637-442605455,Studio,1,Châtelet,20,399000
ag440414-442465262,Appartement,2,Palais Royal,41,725000
hektor-rdimmo-1702,Appartement,4,Châtelet,97,745000
apimo-85315126,Appartement,2,Vendôme,35,665000
apimo-85281136,Appartement,5,Châtelet,146,1860000
ag311656-441460220,Appartement,3,Palais Royal,55,935000
hektor-br-immobilier-4120,Appartement,1,Châtelet,23,319000
apimo-85294530,Appartement,3,Châtelet,63,749000
hektor-PARISLUXURYHOMES-3852,Appartement,5,Châtelet,108,1390000
apimo-85285985,Appartement,6,Saint-Germain,117,1548000
hektor-Les-4-Quartiers-337,Appartement,2,Châtelet,57,600000
apimo-85030290,Appartement,5,Vendôme,180,3000000
apimo-85283408,Appartement,1,Vendôme,26,498000
apimo-85195709,Appartement,5,Châtelet,104,1390000
apimo-85271125,Appartement,1,Châtelet,30,389000
apimo-85278179,Appartement,2,Châtelet,54,760000
hektor-fmpconsults-474,Appartement,3,Vendôme,61,847600
immo-facile-56429399,Appartement,4,Châtelet,87,1290000
netty-loger-appt-2617,Appartement,2,75001 Paris 1er,36,430500
hektor-Les-4-Quartiers-326,Appartement,2,Châtelet,55,600000
apimo-85188376,Appartement,3,Châtelet,45,667000
ag755942-437837126,Appartement,2,Vendôme,35,665000
ag340369-437690528,Appartement,2,Châtelet,33,443000
ag756010-437660267,Appartement,5,75001 Paris 1er,160,4200000
immo-facile-56302613,Appartement,3,Vendôme,79,210000
hektor-br-immobilier-4006,Appartement,2,Palais Royal,43,480000
ag743447-437242967,Studio,1,Châtelet,14,220000
apimo-84756852,Appartement,4,Vendôme,106,1995000
apimo-85165145,Appartement,2,Châtelet,54,760000
ag753296-436328468,Appartement,2,Châtelet,57,600000
ag922880-436164887,Appartement,3,Châtelet,73,915000
netty-company38861gpu-appt-1943,Appartement,5,Châtelet,108,1390000
hektor-br-immobilier-3958,Appartement,2,Châtelet,30,490000
hektor-PARISLUXURYHOMES-3685,Appartement,5,Saint-Germain,115,2685000
apimo-84947866,Appartement,6,Vendôme,150,3490000
hektor-cphparis15-198925,Appartement,2,Châtelet,57,585000
ag752451-430946324,Appartement,1,Châtelet,28,184800
hektor-CFBIMMO2022-466,Appartement,1,Vendôme,22,229000
apimo-85063331,Appartement,5,Châtelet,126,1850000
apimo-85060248,Appartement,5,Vendôme,180,3200000
consortium-162524719,Appartement,3,Vendôme,79,998000
laforet-immo-facile-22236308,Appartement,2,Châtelet,31,440000
guy-hoquet-immo-facile-7027695,Appartement,1,Châtelet,27,328500
guy-hoquet-immo-facile-6969079,Appartement,1,Châtelet,32,472500
ics-lba_CITYALBA_tra-TAPP86285,Appartement,2,Châtelet,43,495000
ag750129-427267901,Appartement,2,Châtelet,45,613000
keller-williams-1-34_1_32-167468,Appartement,1,Châtelet,29,330220
apimo-84935236,Appartement,2,Saint-Germain,69,1380000
keller-williams-1-34_1_32-166191,Appartement,2,Palais Royal,43,480000
ag750129-415994046,Appartement,4,Châtelet,63,850000
iad-france-1579132,Appartement,1,Châtelet,20,299000
stephane-plaza-4-4595310,Appartement,1,Châtelet,20,316500
netty-garantietotale-appt-1742,Appartement,2,75001 Paris 1er,65,840000
apimo-84339998,Appartement,3,Châtelet,85,1150000
gedeon-28832960,Appartement,2,Châtelet,39,580000
ag755216-418047423,Appartement,4,Saint-Germain,113,2685000
hektor-ulys-178,Appartement,6,Vendôme,160,2400000
immo-facile-55465919,Appartement,1,Châtelet,25,279000
apimo-83996547,Appartement,5,Palais Royal,119,1795000
netty-trojani-appt-1974,Appartement,1,Vendôme,26,469000
keller-williams-1-34_1_32-158309,Appartement,6,Palais Royal,102,1040000
keller-williams-1-34_1_32-157902,Appartement,2,Châtelet,35,392000
immo-facile-55094416,Appartement,2,Châtelet,70,730000
apimo-6271458,Appartement,3,Saint-Germain,69,2000000
apimo-83975051,Appartement,2,Châtelet,38,444000
apimo-83975026,Appartement,2,Châtelet,40,451000
apimo-8116430,Appartement,5,Saint-Germain,147,1975000
hektor-hempton-1805,Appartement,2,Saint-Germain,50,1300000
apimo-82954349,Appartement,3,Châtelet,68,799990
apimo-83571390,Appartement,4,Châtelet,83,1150000
apimo-83384443,Appartement,5,Châtelet,233,3700000
hektor-411_iparticuliersadmin-20586,Appartement,1,Châtelet,19,199000
hektor-sival-2986,Appartement,1,Châtelet,23,265000
hektor-BELMONTLATOUR2021-474,Appartement,2,Châtelet,50,540000
apimo-8117303,Appartement,5,Saint-Germain,147,1975000
hektor-axihome-327,Appartement,1,Châtelet,9,119000
apimo-8070770,Appartement,7,Vendôme,298,4200000
hektor-IMMOJLY-128006,Appartement,1,Châtelet,11,158000
netty-robert-appt-4120,Appartement,2,Sentier,31,458000
nestenn-1-99939058725,Appartement,1,Montorgueil,18,275000
ag755714-449209352,Appartement,5,Sentier,123,1200000
apimo-85491121,Appartement,2,Montorgueil,50,700000
ag750365-449146670,Appartement,3,Montorgueil,50,580000
hektor-PARISLUXURYHOMES-4003,Appartement,4,Montorgueil,100,1590000
hektor-PARISLUXURYHOMES-4015,Appartement,5,Montorgueil,253,2940000
dr-house-immo-1-171292,Appartement,1,Montorgueil,14,210000
ag756465-448950353,Appartement,2,75002 Paris 2e,30,364000
immo-facile-57155904,Appartement,1,Sentier,31,364000
ag753296-448877933,Appartement,3,Gaillon,78,899000
keller-williams-1-34_1_32-180794,Appartement,1,Gaillon,19,265000
ag751938-448775414,Appartement,7,Montorgueil,210,2970000
apimo-85474770,Appartement,3,Sentier,82,849000
apimo-85472802,Appartement,3,Gaillon,66,760000
ag755942-448340153,Studio,1,Sentier,32,410000
ag922730-448281260,Studio,1,Sentier,22,259000
ag922880-445165400,Appartement,3,Sentier,85,650000
apimo-85458014,Appartement,4,Montorgueil,114,1690000
netty-lavieimmo-appt-3464,Loft/atelier/surface,2,Montorgueil,35,455000
hektor-br-immobilier-4335,Appartement,1,Sentier,32,399000
immo-facile-57363494,Appartement,1,Gaillon,21,270000
immo-facile-57365543,Appartement,1,Montorgueil,39,435000
keller-williams-1-34_1_32-179598,Appartement,3,Montorgueil,82,950000
hektor-PARISLUXURYHOMES-4001,Appartement,5,Gaillon,132,1450000
apimo-85464227,Appartement,2,Sentier,60,720000
laforet-immo-facile-22278295,Appartement,1,Montorgueil,38,375000
apimo-85318166,Appartement,3,Montorgueil,49,549000
laforet-immo-facile-22435884,Appartement,1,Montorgueil,12,129000
ag752345-447511805,Studio,1,75002 Paris 2e,15,215000
apimo-85450292,Appartement,4,Gaillon,78,899000
apimo-85262391,Appartement,4,Montorgueil,90,2400000
apimo-85460049,Appartement,3,Sentier,65,936000
hektor-PARISLUXURYHOMES-3977,Appartement,3,Montorgueil,52,670000
hektor-PARISLUXURYHOMES-3979,Appartement,2,Gaillon,40,735000
hektor-PARISLUXURYHOMES-3972,Appartement,2,Gaillon,58,1470000
iad-france-1702398,Appartement,2,Sentier,70,780000
hektor-ezrahome11-113,Appartement,6,Montorgueil,180,2950000
iad-france-1702302,Appartement,4,Gaillon,120,1680000
apimo-85366833,Appartement,4,Montorgueil,106,2490000
ag753775-447027017,Appartement,2,Sentier,40,420000
apimo-85449964,Appartement,3,Montorgueil,85,990000
immo-facile-57253999,Appartement,3,Montorgueil,69,775000
immo-facile-57255094,Appartement,3,Sentier,80,995000
iad-france-1699404,Studio,1,Montorgueil,27,310000
hektor-1857_EXPERTIMO22-181664,Appartement,2,Montorgueil,43,540000
keller-williams-1-34_1_32-179810,Appartement,2,Gaillon,63,840000
netty-september75-appt-2811,Appartement,1,Montorgueil,24,364000
apimo-85433336,Appartement,5,Gaillon,125,1450000
gedeon-30182870,Appartement,2,Montorgueil,52,638000
nexity-GB00198317,Appartement,2,Gaillon,55,655000
ag756537-421353130,Appartement,3,Montorgueil,56,448000
hektor-transopera-4188,Appartement,1,Sentier,13,159000
hektor-PARISLUXURYHOMES-3965,Appartement,2,Montorgueil,44,613000
keller-williams-1-34_1_32-169974,Appartement,2,Montorgueil,69,585000
safti-1-1386667,Appartement,3,Sentier,40,520000
ag756444-446127476,Duplex,4,Sentier,90,899000
iad-france-1696504,Studio,1,Sentier,30,350000
ag756001-446055824,Appartement,2,Gaillon,53,670000
hektor-br-immobilier-4268,Appartement,2,Montorgueil,25,295000
ag750129-445571753,Appartement,5,Sentier,145,1648000
apimo-85418715,Appartement,2,Sentier,27,319000
iad-france-1691226,Appartement,5,Gaillon,111,1200000
